!	! expr - Logical not.
%	expr1 % expr2 - Returns the remainder after expr1/expr2.
&	expr1 & expr2 - Returns the result of bitwise AND of expr1 and expr2.
*	expr1 * expr2 - Returns expr1*expr2.
+	expr1 + expr2 - Returns expr1+expr2.
-	expr1 - expr2 - Returns expr1-expr2.
/	expr1 / expr2 - Returns expr1/expr2. It always performs floating point division.
<	expr1 < expr2 - Returns true if expr1 is less than expr2.
<=	expr1 <= expr2 - Returns true if expr1 is less than or equal to expr2.
<=>	expr1 <=> expr2 - Returns same result as the EQUAL(=) operator for non-null operands, but returns true if both are null, false if one of the them is null.
=	expr1 = expr2 - Returns true if expr1 equals expr2, or false otherwise.
==	expr1 == expr2 - Returns true if expr1 equals expr2, or false otherwise.
>	expr1 > expr2 - Returns true if expr1 is greater than expr2.
>=	expr1 >= expr2 - Returns true if expr1 is greater than or equal to expr2.
^	expr1 ^ expr2 - Returns the result of bitwise exclusive OR of expr1 and expr2.
abs	abs(expr) - Returns the absolute value of the numeric value.
acos	acos(expr) - Returns the inverse cosine (a.k.a. arc cosine) of expr, as if computed by java.lang.Math.acos.
add_months	add_months(start_date, num_months) - Returns the date that is num_months after start_date.
aggregate	aggregate(expr, start, merge, finish) - Applies a binary operator to an initial state and all elements in the array, and reduces this to a single state. The final state is converted into the final result by applying a finish function.
and	expr1 and expr2 - Logical AND.
approx_count_distinct	approx_count_distinct(expr[, relativeSD]) - Returns the estimated cardinality by HyperLogLog++. relativeSD defines the maximum estimation error allowed.
approx_percentile	approx_percentile(col, percentage [, accuracy]) - Returns the approximate percentile value of numeric column col at the given percentage. The value of percentage must be between 0.0 and 1.0. The accuracy parameter (default: 10000) is a positive numeric literal which controls approximation accuracy at the cost of memory. Higher value of accuracy yields better accuracy, 1.0/accuracy is the relative error of the approximation. When percentage is an array, each value of the percentage array must be between 0.0 and 1.0. In this case, returns the approximate percentile array of column col at the given percentage array.
array	array(expr, ...) - Returns an array with the given elements.
array_contains	array_contains(array, value) - Returns true if the array contains the value.
array_distinct	array_distinct(array) - Removes duplicate values from the array.
array_except	array_except(array1, array2) - Returns an array of the elements in array1 but not in array2, without duplicates.
array_intersect	array_intersect(array1, array2) - Returns an array of the elements in the intersection of array1 and array2, without duplicates.
array_join	array_join(array, delimiter[, nullReplacement]) - Concatenates the elements of the given array using the delimiter and an optional string to replace nulls. If no value is set for nullReplacement, any null value is filtered.
array_max	array_max(array) - Returns the maximum value in the array. NULL elements are skipped.
array_min	array_min(array) - Returns the minimum value in the array. NULL elements are skipped.
array_position	array_position(array, element) - Returns the (1-based) index of the first element of the array as long.
array_remove	array_remove(array, element) - Remove all elements that equal to element from array.
array_repeat	array_repeat(element, count) - Returns the array containing element count times.
array_sort	array_sort(array) - Sorts the input array in ascending order. The elements of the input array must be orderable. Null elements will be placed at the end of the returned array.
array_union	array_union(array1, array2) - Returns an array of the elements in the union of array1 and array2, without duplicates.
arrays_overlap	arrays_overlap(a1, a2) - Returns true if a1 contains at least a non-null element present also in a2. If the arrays have no common element and they are both non-empty and either of them contains a null element null is returned, false otherwise.
arrays_zip	arrays_zip(a1, a2, ...) - Returns a merged array of structs in which the N-th struct contains all N-th values of input arrays.
ascii	ascii(str) - Returns the numeric value of the first character of str.
asin	asin(expr) - Returns the inverse sine (a.k.a. arc sine) the arc sin of expr, as if computed by java.lang.Math.asin.
assert_true	assert_true(expr) - Throws an exception if expr is not true.
atan	atan(expr) - Returns the inverse tangent (a.k.a. arc tangent) of expr, as if computed by java.lang.Math.atan
atan2	atan2(exprY, exprX) - Returns the angle in radians between the positive x-axis of a plane and the point given by the coordinates (exprX, exprY), as if computed by java.lang.Math.atan2.
avg	avg(expr) - Returns the mean calculated from values of a group.
base64	base64(bin) - Converts the argument from a binary bin to a base 64 string.
bigint	bigint(expr) - Casts the value expr to the target data type bigint.
bin	bin(expr) - Returns the string representation of the long value expr represented in binary.
binary	binary(expr) - Casts the value expr to the target data type binary.
bit_length	bit_length(expr) - Returns the bit length of string data or number of bits of binary data.
boolean	boolean(expr) - Casts the value expr to the target data type boolean.
bround	bround(expr, d) - Returns expr rounded to d decimal places using HALF_EVEN rounding mode.
cardinality	cardinality(expr) - Returns the size of an array or a map. The function returns -1 if its input is null and spark.sql.legacy.sizeOfNull is set to true. If spark.sql.legacy.sizeOfNull is set to false, the function returns null for null input. By default, the spark.sql.legacy.sizeOfNull parameter is set to true.
cast	cast(expr AS type) - Casts the value expr to the target data type type.
cbrt	cbrt(expr) - Returns the cube root of expr.
ceil	ceil(expr) - Returns the smallest integer not smaller than expr.
ceiling	ceiling(expr) - Returns the smallest integer not smaller than expr.
char	char(expr) - Returns the ASCII character having the binary equivalent to expr. If n is larger than 256 the result is equivalent to chr(n % 256)
char_length	char_length(expr) - Returns the character length of string data or number of bytes of binary data. The length of string data includes the trailing spaces. The length of binary data includes binary zeros.
character_length	character_length(expr) - Returns the character length of string data or number of bytes of binary data. The length of string data includes the trailing spaces. The length of binary data includes binary zeros.
chr	chr(expr) - Returns the ASCII character having the binary equivalent to expr. If n is larger than 256 the result is equivalent to chr(n % 256)
coalesce	coalesce(expr1, expr2, ...) - Returns the first non-null argument if exists. Otherwise, null.
collect_list	collect_list(expr) - Collects and returns a list of non-unique elements.
collect_set	collect_set(expr) - Collects and returns a set of unique elements.
concat	concat(col1, col2, ..., colN) - Returns the concatenation of col1, col2, ..., colN.
concat_ws	concat_ws(sep, [str | array(str)]+) - Returns the concatenation of the strings separated by sep.
conv	conv(num, from_base, to_base) - Convert num from from_base to to_base.
corr	corr(expr1, expr2) - Returns Pearson coefficient of correlation between a set of number pairs.
cos	cos(expr) - Returns the cosine of expr, as if computed by java.lang.Math.cos.
cosh	cosh(expr) - Returns the hyperbolic cosine of expr, as if computed by java.lang.Math.cosh.
cot	cot(expr) - Returns the cotangent of expr, as if computed by 1/java.lang.Math.cot.
count	count(*) - Returns the total number of retrieved rows, including rows containing null.
count_min_sketch	count_min_sketch(col, eps, confidence, seed) - Returns a count-min sketch of a column with the given esp, confidence and seed. The result is an array of bytes, which can be deserialized to a CountMinSketch before usage. Count-min sketch is a probabilistic data structure used for cardinality estimation using sub-linear space.
covar_pop	covar_pop(expr1, expr2) - Returns the population covariance of a set of number pairs.
covar_samp	covar_samp(expr1, expr2) - Returns the sample covariance of a set of number pairs.
crc32	crc32(expr) - Returns a cyclic redundancy check value of the expr as a bigint.
cube	cube([col1[, col2 ..]]) - create a multi-dimensional cube using the specified columns so that we can run aggregation on them.
cume_dist	cume_dist() - Computes the position of a value relative to all values in the partition.
current_database	current_database() - Returns the current database.
current_date	current_date() - Returns the current date at the start of query evaluation.
current_timestamp	current_timestamp() - Returns the current timestamp at the start of query evaluation.
date	date(expr) - Casts the value expr to the target data type date.
date_add	date_add(start_date, num_days) - Returns the date that is num_days after start_date.
date_format	date_format(timestamp, fmt) - Converts timestamp to a value of string in the format specified by the date format fmt.
date_sub	date_sub(start_date, num_days) - Returns the date that is num_days before start_date.
date_trunc	date_trunc(fmt, ts) - Returns timestamp ts truncated to the unit specified by the format model fmt. fmt should be one of ["YEAR", "YYYY", "YY", "MON", "MONTH", "MM", "DAY", "DD", "HOUR", "MINUTE", "SECOND", "WEEK", "QUARTER"]
datediff	datediff(endDate, startDate) - Returns the number of days from startDate to endDate.
day	day(date) - Returns the day of month of the date/timestamp.
dayofmonth	dayofmonth(date) - Returns the day of month of the date/timestamp.
dayofweek	dayofweek(date) - Returns the day of the week for date/timestamp (1 = Sunday, 2 = Monday, ..., 7 = Saturday).
dayofyear	dayofyear(date) - Returns the day of year of the date/timestamp.
decimal	decimal(expr) - Casts the value expr to the target data type decimal.
decode	decode(bin, charset) - Decodes the first argument using the second argument character set.
degrees	degrees(expr) - Converts radians to degrees.
dense_rank	dense_rank() - Computes the rank of a value in a group of values. The result is one plus the previously assigned rank value. Unlike the function rank, dense_rank will not produce gaps in the ranking sequence.
double	double(expr) - Casts the value expr to the target data type double.
e	e() - Returns Euler's number, e.
element_at	element_at(array, index) - Returns element of array at given (1-based) index. If index < 0, accesses elements from the last to the first. Returns NULL if the index exceeds the length of the array.
elt	elt(n, input1, input2, ...) - Returns the n-th input, e.g., returns input2 when n is 2.
encode	encode(str, charset) - Encodes the first argument using the second argument character set.
exists	exists(expr, pred) - Tests whether a predicate holds for one or more elements in the array.
exp	exp(expr) - Returns e to the power of expr.
explode	explode(expr) - Separates the elements of array expr into multiple rows, or the elements of map expr into multiple rows and columns.
explode_outer	explode_outer(expr) - Separates the elements of array expr into multiple rows, or the elements of map expr into multiple rows and columns.
expm1	expm1(expr) - Returns exp(expr) - 1.
factorial	factorial(expr) - Returns the factorial of expr. expr is [0..20]. Otherwise, null.
filter	filter(expr, func) - Filters the input array using the given predicate.
find_in_set	find_in_set(str, str_array) - Returns the index (1-based) of the given string (str) in the comma-delimited list (str_array). Returns 0, if the string was not found or if the given string (str) contains a comma.
first	first(expr[, isIgnoreNull]) - Returns the first value of expr for a group of rows. If isIgnoreNull is true, returns only non-null values.
first_value	first_value(expr[, isIgnoreNull]) - Returns the first value of expr for a group of rows. If isIgnoreNull is true, returns only non-null values.
flatten	flatten(arrayOfArrays) - Transforms an array of arrays into a single array.
float	float(expr) - Casts the value expr to the target data type float.
floor	floor(expr) - Returns the largest integer not greater than expr.
format_number	format_number(expr1, expr2) - Formats the number expr1 like '#,###,###.##', rounded to expr2 decimal places. If expr2 is 0, the result has no decimal point or fractional part. expr2 also accept a user specified format. This is supposed to function like MySQL's FORMAT.
format_string	format_string(strfmt, obj, ...) - Returns a formatted string from printf-style format strings.
from_json	from_json(jsonStr, schema[, options]) - Returns a struct value with the given jsonStr and schema.
from_unixtime	from_unixtime(unix_time, format) - Returns unix_time in the specified format.
from_utc_timestamp	from_utc_timestamp(timestamp, timezone) - Given a timestamp like '2017-07-14 02:40:00.0', interprets it as a time in UTC, and renders that time as a timestamp in the given time zone. For example, 'GMT+1' would yield '2017-07-14 03:40:00.0'.
get_json_object	get_json_object(json_txt, path) - Extracts a json object from path.
greatest	greatest(expr, ...) - Returns the greatest value of all parameters, skipping null values.
grouping	grouping(col) - indicates whether a specified column in a GROUP BY is aggregated or not, returns 1 for aggregated or 0 for not aggregated in the result set.",
grouping_id	grouping_id([col1[, col2 ..]]) - returns the level of grouping, equals to (grouping(c1) << (n-1)) + (grouping(c2) << (n-2)) + ... + grouping(cn)
hash	hash(expr1, expr2, ...) - Returns a hash value of the arguments.
hex	hex(expr) - Converts expr to hexadecimal.
hour	hour(timestamp) - Returns the hour component of the string/timestamp.
hypot	hypot(expr1, expr2) - Returns sqrt(expr12 + expr22).
if	if(expr1, expr2, expr3) - If expr1 evaluates to true, then returns expr2; otherwise returns expr3.
ifnull	ifnull(expr1, expr2) - Returns expr2 if expr1 is null, or expr1 otherwise.
in	expr1 in(expr2, expr3, ...) - Returns true if expr equals to any valN.
initcap	initcap(str) - Returns str with the first letter of each word in uppercase. All other letters are in lowercase. Words are delimited by white space.
inline	inline(expr) - Explodes an array of structs into a table.
inline_outer	inline_outer(expr) - Explodes an array of structs into a table.
input_file_block_length	input_file_block_length() - Returns the length of the block being read, or -1 if not available.
input_file_block_start	input_file_block_start() - Returns the start offset of the block being read, or -1 if not available.
input_file_name	input_file_name() - Returns the name of the file being read, or empty string if not available.
instr	instr(str, substr) - Returns the (1-based) index of the first occurrence of substr in str.
int	int(expr) - Casts the value expr to the target data type int.
